Timestamp,nick,operation,values,texts
1684726800,esteban,Cambio en la configuracion del sistema,,
1684813200,nico,Modifico una imagen previamente clasificada,,
1684950000,nico,Modifico una imagen previamente clasificada,,
1684986000,nico,Modifico una imagen previamente clasificada,,
1684986000,esteban,Modifico una imagen previamente clasificada,,
1684986000,bauti,Clasifico una nueva imagen,,
1685072400,esteban,Cambio en la configuracion del sistema,,
1685158800,esteban,Cambio en la configuracion del sistema,,
1685245200,esteban,Nuevo collage,Hombre-negro.png;Mujer-marron.png,Dos
1685052562,esteban,Nuevo collage,Hombre-negro.png;Mujer-marron-claro.png,Dos
1685052618,esteban,Nuevo collage,Hombre-marron.png;Mujer-marron.png,Chicos
1685052987,esteban,Nuevo collage,Hombre-negro.png;Mujer-marron-claro.png,Dos
1685053055,esteban,Nuevo collage,Mujer-marron.png;default.png,Dos
1685053200,esteban,Nuevo collage,default.png;Mujer-marron.png,Dos
1685053252,esteban,Nuevo collage,Hombre-negro.png;Mujer-marron.png,Dos
1685053280,esteban,Nuevo collage,Hombre-negro.png;Mujer-marron-claro.png,Dos
1685053331,esteban,Nuevo collage,Hombre-marron.png;Mujer-marron-claro.png,Dos
1685053829,esteban,Nuevo collage,Hombre-marron.png;Mujer-marron-claro.png,Dos
1685053884,esteban,Nuevo collage,Mujer-marron.png;default.png,Mujeres
1685055676,esteban,Nuevo collage,default.png;Hombre-marron.png;Hombre-negro.png;Hombre-rubio.png,Dos
1685055713,esteban,Nuevo collage,default.png;Mujer-negro.png;Hombre-rubio.png;Mujer-marron.png,Dos
1685057893,tucci,Nuevo collage,Mujer-marron.png;default.png,Dos
1685057941,tucci,Nuevo collage,Hombre-marron.png;default.png,Dos
1685057994,esteban,Nuevo collage,Hombre-negro.png;default.png,Collage
1685058031,tucci,Nuevo collage,Hombre-marron.png;Mujer-marron.png,Tres
1685058113,tucci,Nuevo collage,Mujer-marron.png;Hombre-marron.png,Chicas
1685058185,tucci,Nuevo collage,Hombre-negro.png;ejemplo.jpg,a
1685058247,nico,Nuevo collage,Hombre-marron.png;ejemplo.jpg;Hombre-rubio.png;Mujer-marron.png,Cuatro
1685061891,nico,Nuevo collage,ejemplo.jpg;Hombre-rubio.png,Dos
1685061974,nico,Nuevo collage,default.png;Hombre-rubio.png,Dos
1685063895,nico,Nuevo collage,ejemplo.jpg;Hombre-marron.png,Dos
1685064276,nico,Nuevo collage,Hombre-marron.png;Hombre-negro.png,Dos
1685064341,esteban,Nuevo collage,Mujer-negro.png;Hombre-marron.png,Dos
1685065172,esteban,Nuevo collage,Hombre-negro.png;Hombre-marron.png,Dos
1685065209,esteban,Nuevo collage,Hombre-marron.png;Hombre-negro.png;Mujer-marron.png;Mujer-negro.png,Cuatro
1685065605,esteban,Nuevo collage,default.png;Hombre-marron.png,Chicos
1685110651,esteban,Cambio en la configuracion del sistema,,
1685111394,esteban,Cambio en la configuracion del sistema,,
1685111512,esteban,Cambio en la configuracion del sistema,,
1685111625,esteban,Nuevo collage,default.png;Hombre-rubio.png,Dos
1685111638,esteban,Cambio en la configuracion del sistema,,
1685111652,esteban,Nuevo collage,Hombre-negro.png;default.png;Mujer-marron-claro.png;Hombre-marron.png,Hombres
1685111749,esteban,Cambio en la configuracion del sistema,,
1685111880,esteban,Cambio en la configuracion del sistema,,
1685111976,esteban,Cambio en la configuracion del sistema,,
1685111982,esteban,Cambio en la configuracion del sistema,,
1685111989,esteban,Cambio en la configuracion del sistema,,
1685112029,esteban,Nuevo collage,Hombre-marron.png;Hombre-rubio.png,Dos
1685139423,esteban,Cambio en la configuracion del sistema,,
1685139474,esteban,Cambio en la configuracion del sistema,,
1685141608,esteban,Cambio en la configuracion del sistema,,
1685149004,bauti,Clasifico una nueva imagen,,
1685149011,bauti,Clasifico una nueva imagen,,
1685152527,bauti,Clasifico una nueva imagen,,
1685152533,bauti,Clasifico una nueva imagen,,
1685152579,bauti,Modifico una imagen previamente clasificada,,
1685152583,bauti,Modifico una imagen previamente clasificada,,
1685152587,bauti,Modifico una imagen previamente clasificada,,
1685152595,bauti,Modifico una imagen previamente clasificada,,
1685111625,esteban,Nuevo meme,Bob esponja fuerte,HOLA;TODO;BIEN
1685620710,esteban,Clasifico una nueva imagen,,
1685620710,esteban,Modifico una imagen previamente clasificada,,
1686223294,esteban,Cambio en la configuracion del sistema,,
1686692293,nico,Bob esponja fuerte,"['', '', '']"
1686692337,nico,Bob esponja fuerte,"['hola', 'como', 'va']"
1686693736,messi,Creación de perfil,,
1686693936,messi,Modificación de perfil,,
1686693983,messi,Cambio en la configuracion del sistema,,
1686694416,nico,Nuevo meme,Joe sorprendido,HOLA COMO VA;HOLA DON PEPITO
1686697550,nico,Cambio en la configuracion del sistema,,
1686775851,messi,Cambio en la configuracion del sistema,,
1686775866,messi,Nuevo meme,Bob esponja fuerte,HOLA;TODO;BIEN
1686776100,esteban,Nuevo meme,Homero escondiéndose,CUANDO HACES TODO EL TP DE PYTHON;PERO TE DESCUBREN USANDO CHATGPT;
1686790184,messi,Clasifico una nueva imagen,,
1686790187,messi,Modifico una imagen previamente clasificada,,
1686790190,messi,Modifico una imagen previamente clasificada,,
1686790195,messi,Clasifico una nueva imagen,,
1686790198,messi,Modifico una imagen previamente clasificada,,
1686790200,messi,Modifico una imagen previamente clasificada,,
1686790211,messi,Clasifico una nueva imagen,,
1686790212,messi,Modifico una imagen previamente clasificada,,
1686790215,messi,Modifico una imagen previamente clasificada,,
1686827209,messi,Clasifico una nueva imagen,,
1686827212,messi,Modifico una imagen previamente clasificada,,
1686827216,messi,Modifico una imagen previamente clasificada,,
1686827217,messi,Modifico una imagen previamente clasificada,,
1686827233,messi,Clasifico una nueva imagen,,
1686827234,messi,Modifico una imagen previamente clasificada,,
1686827237,messi,Modifico una imagen previamente clasificada,,
1686827239,messi,Modifico una imagen previamente clasificada,,
1686938765,messi,Cambio en la configuracion del sistema,,
1686938778,messi,Cambio en la configuracion del sistema,,
1686938803,messi,Cambio en la configuracion del sistema,,
1686938817,messi,Cambio en la configuracion del sistema,,
1686938824,messi,Cambio en la configuracion del sistema,,
1686938834,messi,Cambio en la configuracion del sistema,,
1686938841,messi,Cambio en la configuracion del sistema,,
1686938850,messi,Cambio en la configuracion del sistema,,
